iter	RMSE
0	0.2622956393
1	0.242739516
2	0.2263783254
3	0.212707014
4	0.2014773399
5	0.1922168526
6	0.1846229143
7	0.178451998
8	0.1733367556
9	0.1692643377
10	0.1659648101
11	0.1632532571
12	0.1610480732
13	0.1591789166
14	0.1577480771
15	0.1565050238
16	0.1554660118
17	0.1546246609
18	0.1539396274
19	0.1533732394
20	0.1528462913
21	0.1524769255
22	0.1521245521
23	0.1518500553
24	0.1515686411
25	0.1513235903
26	0.1510927458
27	0.1508974239
28	0.1507406786
29	0.1505632755
30	0.1504016993
31	0.1502819195
32	0.1501821679
33	0.1500358698
34	0.14991967
35	0.1497971801
36	0.1497453185
37	0.1496429947
38	0.1495142822
39	0.149438529
40	0.1493751098
41	0.1492645052
42	0.1492116823
43	0.1491133571
44	0.1490228736
45	0.1489993316
46	0.1489681483
47	0.1489201423
48	0.1488515313
49	0.1488122968
50	0.14879118
51	0.1487263411
52	0.1486834652
53	0.1486724623
54	0.1486635778
55	0.1486481827
56	0.1486261892
57	0.1486096438
58	0.1486023446
59	0.1485362699
60	0.1484380135
61	0.1483728006
62	0.1483324713
63	0.1483120821
64	0.1483023525
65	0.1482921422
66	0.1482769012
67	0.1482061199
68	0.1481582789
69	0.1481452879
70	0.1481299509
71	0.1481184599
72	0.1481153205
73	0.1480580096
74	0.1480383606
75	0.1480205692
76	0.1480119928
77	0.1479222608
78	0.147883636
79	0.1478748388
80	0.1478401584
81	0.1478280145
82	0.1478225562
83	0.1477527215
84	0.1477393622
85	0.1477348166
86	0.1477307248
87	0.1477264166
88	0.1477024048
89	0.1476950537
90	0.1476600969
91	0.1476554062
92	0.1476536822
93	0.1476040169
94	0.1475669381
95	0.1475336422
96	0.147532118
97	0.1474861533
98	0.1474607138
99	0.1474604025
100	0.1474039585
101	0.1473963549
102	0.147391925
103	0.1473516403
104	0.1473449927
105	0.1473419752
106	0.147327244
107	0.1472931232
108	0.1472896678
109	0.1472841314
110	0.1472563643
111	0.1472547266
112	0.1472258095
113	0.1472156439
114	0.1471540251
115	0.1471044703
116	0.147080037
117	0.1470793627
118	0.1470736685
119	0.1470496776
120	0.1470338176
121	0.1470332493
122	0.1470297758
123	0.1470258041
124	0.1470251599
125	0.147020865
126	0.1470191288
127	0.1470174333
128	0.1469811007
129	0.1469797907
130	0.1469315997
131	0.1469120314
132	0.1469106468
133	0.1468672156
134	0.1468667119
135	0.1468526608
136	0.1468363653
137	0.1468348044
138	0.146823867
139	0.1468014268
140	0.1467937589
141	0.1467932079
142	0.1467910386
143	0.1467444859
144	0.1467435759
145	0.1467181029
146	0.1466823732
147	0.1466304581
148	0.1466224085
