iter	Passed	Remaining
0	10	10270
1	21	10851
2	32	10792
3	42	10526
4	52	10375
5	61	10270
6	71	10153
7	80	10043
8	90	9978
9	100	9976
10	110	9941
11	120	9923
12	130	9876
13	139	9795
14	148	9761
15	158	9721
16	167	9658
17	176	9617
18	185	9578
19	195	9586
20	204	9551
21	215	9589
22	225	9594
23	235	9587
24	245	9569
25	254	9534
26	265	9550
27	274	9523
28	284	9539
29	294	9515
30	304	9507
31	315	9542
32	324	9513
33	334	9504
34	345	9526
35	354	9484
36	363	9451
37	373	9457
38	384	9468
39	392	9429
40	401	9386
41	409	9335
42	417	9300
43	426	9257
44	436	9261
45	444	9212
46	451	9150
47	459	9109
48	467	9064
49	475	9036
50	482	8981
51	490	8938
52	498	8911
53	505	8856
54	512	8797
55	517	8731
56	524	8681
57	530	8620
58	537	8574
59	547	8575
60	556	8563
61	565	8553
62	573	8525
63	580	8487
64	586	8440
65	593	8393
66	599	8353
67	609	8359
68	620	8376
69	630	8373
70	637	8336
71	643	8297
72	650	8256
73	658	8240
74	664	8195
75	671	8162
76	677	8123
77	687	8122
78	695	8102
79	702	8076
80	709	8051
81	716	8016
82	721	7975
83	731	7980
84	738	7953
85	745	7926
86	752	7893
87	758	7855
88	765	7840
89	772	7807
90	779	7786
91	785	7751
92	791	7715
93	800	7711
94	808	7701
95	815	7682
96	822	7654
97	830	7640
98	837	7621
99	843	7588
100	851	7581
101	857	7551
102	864	7527
103	872	7519
104	878	7489
105	884	7462
106	891	7442
107	900	7440
108	906	7412
109	912	7384
110	920	7375
111	926	7346
112	935	7340
113	942	7322
114	951	7321
115	961	7326
116	968	7305
117	973	7277
118	979	7254
119	987	7238
120	993	7216
121	999	7192
122	1005	7167
123	1011	7144
124	1016	7118
125	1022	7096
126	1028	7070
127	1034	7046
128	1042	7040
129	1048	7019
130	1057	7015
131	1064	7002
132	1070	6979
133	1080	6983
134	1086	6959
135	1092	6943
136	1100	6933
137	1106	6912
138	1113	6896
139	1120	6885
140	1127	6869
141	1133	6846
142	1139	6831
143	1149	6830
144	1154	6809
145	1162	6797
146	1170	6794
147	1178	6785
148	1184	6767
149	1190	6748
150	1197	6731
151	1202	6709
152	1208	6691
153	1215	6675
154	1222	6661
155	1228	6647
156	1234	6627
157	1241	6614
158	1247	6597
159	1256	6596
160	1262	6580
161	1270	6574
162	1280	6573
163	1287	6563
164	1297	6564
165	1305	6556
166	1311	6542
167	1320	6537
168	1327	6527
169	1334	6514
170	1340	6498
171	1346	6481
172	1354	6474
173	1361	6460
174	1367	6446
175	1374	6436
176	1381	6422
177	1390	6419
178	1395	6401
179	1402	6391
180	1411	6385
181	1417	6372
182	1423	6354
183	1430	6345
184	1436	6328
185	1444	6322
186	1451	6309
187	1458	6299
188	1466	6294
189	1473	6280
190	1481	6275
191	1488	6264
192	1494	6248
193	1500	6234
194	1507	6225
195	1517	6223
196	1522	6207
197	1528	6190
198	1536	6183
199	1546	6184
200	1552	6172
201	1561	6167
202	1567	6154
203	1574	6142
204	1580	6127
205	1585	6112
206	1594	6108
207	1604	6110
208	1610	6095
209	1616	6081
210	1623	6072
211	1632	6069
212	1643	6071
213	1650	6060
214	1656	6048
215	1665	6045
216	1674	6040
217	1680	6026
218	1686	6013
219	1695	6011
220	1703	6003
221	1711	5998
222	1717	5982
223	1722	5968
224	1731	5964
225	1737	5951
226	1743	5936
227	1752	5932
228	1758	5920
229	1765	5912
230	1774	5908
231	1780	5894
232	1786	5881
233	1793	5870
234	1801	5864
235	1807	5851
236	1813	5837
237	1821	5830
238	1828	5823
239	1835	5812
240	1841	5799
241	1850	5797
242	1857	5784
243	1863	5774
244	1869	5761
245	1875	5749
246	1882	5737
247	1888	5725
248	1894	5712
249	1900	5701
250	1906	5687
251	1911	5674
252	1919	5667
253	1929	5666
254	1935	5653
255	1942	5645
256	1950	5639
257	1957	5630
